date,finding5,treatment,images,notes,finding2,finding1,treatedBy,line,finding4,finding3,diagnosis,fishExamined,tankNumber,treatmentDate,group,id,created_date,updated_date,created_by_id,created_by,is_sample
"2026-03-25","","","","","נקי","נקי","","s.s blue","נקי","נקי","נקי מטפילים","4","FT62","","guppy","69c3edbf77559f29153bf333","2026-03-25T14:14:23.976000","2026-03-26T06:30:06.138000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-25","נקי","","","","נקי","נקי","","lemon","נקי","נקי","נקי מטפילים","5","FT74","","guppy","69c3ed7ad6c18381fa07d129","2026-03-25T14:13:14.571000","2026-03-25T14:13:14.571000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-25","נקי","","","","נקי","נקי","","female mix","נקי","נקי","נקיים מטפילים","5","PH12","","guppy","69c3eb85c9c374f5cd053f89","2026-03-25T14:04:53.012000","2026-03-25T14:04:53.012000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-19","","","","","נקי","נקי","","pink+yellow neon","","נקי","נקיים מטפילים","3","FT49","","Guppy","69bc11a8d11cd85d948d2ff5","2026-03-19T15:09:28.540000","2026-03-19T15:09:28.540000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-19","","","","","נקי","נקי","","s.s green","","נקי","נקיים מטפילים","3","FT58","","Guppy","69bc1088c678dab669089123","2026-03-19T15:04:40.527000","2026-03-19T15:04:40.527000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-19","","","","","נקי","נקי","","s.s blue","","נקי","נקיים מטפילים","3","FT62","","Guppy","69bc0efe45b262c8cf83cf59","2026-03-19T14:58:06.736000","2026-03-19T14:58:06.736000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-19","נקי","מי חמצן","","","נקי","נקי","","Female Mix","נקי","1 טריכודינה","נקבות רזות וחלות, דגימה נקייה.","5","PH12","","Guppy","69bc0c568a92c886e3b2cc12","2026-03-19T14:46:46.796000","2026-03-19T14:46:46.796000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-17","","מי חמצן 15 מל (ריכוז מופחת בגלל שהמשלוח היום)","","","נקי","טריכודינה-פרט אחד","נטלי","Rasbora","2 פרטים","2 פרטים","דגימה מסל רסבורות מידה 3 לפני משלוח. התחילו למות בסלים עד 10 מתים. דגמתי 4 פרטים שפשופים, יש טריכודינה ברמה נמוכה. בנוסף בהגדלה של 400 אני רואה עומס חיידקי יחסית גבוה (אין לי למה להשוות פעם ראשונה שאני רואה).","4","LD43","2026-03-17","Rasbora","69b91deb2d10533ec3216302","2026-03-17T09:24:59.723000","2026-03-17T10:06:12.088000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-15","","","","מים נ-5קיים","נקי","נקי","","Rasbora","","נקי","דגמתי דגים שנראים טוב, אין טיפילים","3","F36","","Rasbora","69b687c34f6a80584817deb7","2026-03-15T10:19:47.115000","2026-03-15T10:20:13.636000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-15","נקי","","","","אין טיפילים. דגימה מלוכלכת","נקי","","yellow neon+pink-stock","אין טיפילים. פרט אחד של גירודקטילוס מת","אין טיפילים. דגימה מלוכלכת","דגמתי חמישה דגים, דגימה מעורבת בריאים וחולים. יש הרבה דטרויטס. אין טריכודינה אין טפילים חיים","5","F49","","Guppy","69b686c932f880be880c9ad3","2026-03-15T10:15:37.644000","2026-03-15T10:20:23.793000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-15","נקי","","","","נקי","נקי","","Mix Female","נקי","נקי","דגימה מעורבת של רזים ובריאים, אין טפילים","5","PH12","","Guppy","69b683ba61747756214a2a27","2026-03-15T10:02:34.348000","2026-03-15T10:20:31.921000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-15","נקי","","","","נקי","נקי","","s.s blue","גירודקטילוס אחד מת","נקי","דגמתי חמישה דגים רזים וחולים.
אין טפילים, לא טריכודינה ולא גירודקטילוס. בפרט החמישי היו חלקיקים אוגניים ""לכלוך"" אולי
 שרידים של גירודקטילוס או לכלוך אחר.","5","A63","","Guppy","69b67ef1dd83fe250fb276c8","2026-03-15T09:42:09.308000","2026-03-15T10:20:37.073000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-15","5-10 גירודקטילוס מתים","","","","clean","clean","","S.S Green stock","clean","clean","דגמתי חמישה דגים רזים וחולים, אין טריכודינה, יש מספר מועט של גירודקטילוס מתים","5","A58","","Guppy","69b67c3ceeb5c3e447b1b4ba","2026-03-15T09:30:36.932000","2026-03-15T10:20:55.732000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-14","","","","","","","Anog","Blue Cosby","","","","10","A3","2026-03-14","Gourami","69b56914bb5a91b315af0b37","2026-03-14T13:56:36.982000","2026-03-14T13:57:05.307000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"2026-03-13","","","","","","","Nir","Mix","","","","26","A3","2026-03-13","Swordtail","69b568b8678193e8a1f2aa2a","2026-03-14T13:55:04.445000","2026-03-15T20:45:48.940000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
